Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2022,11,20,13,47,27,-28.456899,-48.972999,20.000000,16,0.00,136,40.19
2022,11,21,10,39,52,-28.456899,-48.972999,20.000000,16,0.00,136,36.70
2022,11,21,10,55,39,-28.456899,-48.972999,20.000000,16,0.00,136,37.40
2022,11,21,11,11,27,-28.456899,-48.972999,20.000000,16,0.00,136,34.61
2022,11,21,11,27,13,-28.456899,-48.972999,20.000000,16,0.00,136,23.45
2022,11,21,11,42,59,-28.456899,-48.972999,20.000000,16,0.00,136,22.06
2022,11,21,11,58,37,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,21,12,14,24,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,21,12,30,9,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,21,12,45,51,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,21,13,1,37,-28.456899,-48.972999,20.000000,16,0.00,136,36.01
2022,11,21,13,17,24,-28.456899,-48.972999,20.000000,16,0.00,136,13.68
2022,11,21,13,33,6,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,21,13,48,53,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,21,14,4,38,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,21,14,20,23,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,21,14,36,7,-28.456899,-48.972999,20.000000,16,0.00,136,47.17
2022,11,21,14,51,53,-28.456899,-48.972999,20.000000,16,0.00,136,47.17
2022,11,21,15,7,39,-28.456899,-48.972999,20.000000,16,0.00,136,52.75
2022,11,21,15,23,24,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,21,15,39,9,-28.456899,-48.972999,20.000000,16,0.00,136,42.98
2022,11,21,15,54,54,-28.456899,-48.972999,20.000000,16,0.00,136,47.17
2022,11,21,16,10,36,-28.456899,-48.972999,20.000000,16,0.00,136,38.80
2022,11,21,16,26,21,-28.456899,-48.972999,20.000000,16,0.00,136,38.80
2022,11,21,16,42,8,-28.456899,-48.972999,20.000000,16,0.00,136,23.45
2022,11,21,16,57,53,-28.456899,-48.972999,20.000000,16,0.00,136,36.01
2022,11,21,17,13,38,-28.456899,-48.972999,20.000000,16,0.00,136,41.59
2022,11,21,17,29,23,-28.456899,-48.972999,20.000000,16,0.00,136,59.72
2022,11,21,17,45,8,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,21,18,0,52,-28.456899,-48.972999,20.000000,16,0.00,136,38.80
2022,11,21,18,16,37,-28.456899,-48.972999,20.000000,16,0.00,136,36.01
2022,11,21,18,32,13,-28.456899,-48.972999,20.000000,16,0.00,136,41.59
2022,11,21,18,48,1,-28.456899,-48.972999,20.000000,16,0.00,136,40.19
2022,11,21,19,3,45,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,21,19,19,25,-28.456899,-48.972999,20.000000,16,0.00,136,15.08
2022,11,21,19,35,11,-28.456899,-48.972999,20.000000,16,0.00,136,38.80
2022,11,21,19,50,54,-28.456899,-48.972999,20.000000,16,0.00,136,37.40
2022,11,21,20,6,39,-28.456899,-48.972999,20.000000,16,0.00,136,37.40
2022,11,21,20,22,26,-28.456899,-48.972999,20.000000,16,0.00,136,42.98
2022,11,21,20,38,11,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,21,20,53,55,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,21,21,9,40,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,21,21,25,24,-28.456899,-48.972999,20.000000,16,0.00,136,26.24
2022,11,21,21,41,7,-28.456899,-48.972999,20.000000,16,0.00,136,34.61
2022,11,21,21,56,54,-28.456899,-48.972999,20.000000,16,0.00,136,26.24
2022,11,21,22,12,39,-28.456899,-48.972999,20.000000,16,0.00,136,42.98
2022,11,21,22,28,23,-28.456899,-48.972999,20.000000,16,0.00,136,38.80
2022,11,21,22,44,8,-28.456899,-48.972999,20.000000,16,0.00,136,41.59
2022,11,21,22,59,53,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,21,23,15,38,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,21,23,31,23,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,21,23,47,7,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,0,2,52,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,0,18,37,-28.456899,-48.972999,20.000000,16,0.00,136,24.85
2022,11,22,0,34,21,-28.456899,-48.972999,20.000000,16,0.00,136,26.24
2022,11,22,0,50,6,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,1,5,51,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,1,21,36,-28.456899,-48.972999,20.000000,16,0.00,136,38.80
2022,11,22,1,37,21,-28.456899,-48.972999,20.000000,16,0.00,136,24.85
2022,11,22,1,53,5,-28.456899,-48.972999,20.000000,16,0.00,136,36.01
2022,11,22,2,8,49,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,2,24,34,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,22,2,40,19,-28.456899,-48.972999,20.000000,16,0.00,136,38.80
2022,11,22,2,56,3,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,22,3,11,49,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,3,27,33,-28.456899,-48.972999,20.000000,16,0.00,136,23.45
2022,11,22,3,43,18,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,3,59,3,-28.456899,-48.972999,20.000000,16,0.00,136,26.24
2022,11,22,4,14,48,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,4,30,32,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,4,46,16,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,5,2,2,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,5,17,47,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,22,5,33,31,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,5,49,16,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,6,5,0,-28.456899,-48.972999,20.000000,16,0.00,136,34.61
2022,11,22,6,20,45,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,22,6,36,30,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,6,52,15,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,22,7,7,58,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,22,7,23,45,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,7,39,30,-28.456899,-48.972999,20.000000,16,0.00,136,22.06
2022,11,22,7,55,14,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,8,10,59,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,22,8,26,44,-28.456899,-48.972999,20.000000,16,0.00,136,23.45
2022,11,22,8,42,29,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,8,58,14,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,22,9,14,0,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,22,9,29,43,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,9,45,23,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,10,1,8,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,10,16,53,-28.456899,-48.972999,20.000000,16,0.00,136,24.85
2022,11,22,10,32,38,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,10,48,23,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,11,4,8,-28.456899,-48.972999,20.000000,16,0.00,136,-1.66
2022,11,22,11,19,52,-28.456899,-48.972999,20.000000,16,0.00,136,26.24
2022,11,22,11,35,35,-28.456899,-48.972999,20.000000,16,0.00,136,34.61
2022,11,22,11,51,16,-28.456899,-48.972999,20.000000,16,0.00,136,34.61
2022,11,22,12,7,1,-28.456899,-48.972999,20.000000,16,0.00,136,37.40
2022,11,22,12,22,46,-28.456899,-48.972999,20.000000,16,0.00,136,34.61
2022,11,22,12,38,30,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,12,54,15,-28.456899,-48.972999,20.000000,16,0.00,136,37.40
2022,11,22,13,10,1,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,13,25,45,-28.456899,-48.972999,20.000000,16,0.00,136,45.77
2022,11,22,13,41,30,-28.456899,-48.972999,20.000000,16,0.00,136,41.59
2022,11,22,13,57,13,-28.456899,-48.972999,20.000000,16,0.00,136,36.01
2022,11,22,14,12,59,-28.456899,-48.972999,20.000000,16,0.00,136,27.64
2022,11,22,14,28,45,-28.456899,-48.972999,20.000000,16,0.00,136,26.24
2022,11,22,14,44,33,-28.456899,-48.972999,20.000000,16,0.00,136,24.85
2022,11,22,15,0,17,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,15,16,3,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,15,31,48,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,15,47,34,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,16,3,10,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,22,16,18,58,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,16,34,44,-28.456899,-48.972999,20.000000,16,0.00,136,29.03
2022,11,22,16,50,28,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,17,6,14,-28.456899,-48.972999,20.000000,16,0.00,136,34.61
2022,11,22,17,22,0,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,22,17,37,45,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,17,53,30,-28.456899,-48.972999,20.000000,16,0.00,136,36.01
2022,11,22,18,9,9,-28.456899,-48.972999,20.000000,16,0.00,136,34.61
2022,11,22,18,24,54,-28.456899,-48.972999,20.000000,16,0.00,136,36.01
2022,11,22,18,40,32,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,18,56,12,-28.456899,-48.972999,20.000000,16,0.00,136,31.82
2022,11,22,19,11,55,-28.456899,-48.972999,20.000000,16,0.00,136,30.43
2022,11,22,19,27,40,-28.456899,-48.972999,20.000000,16,0.00,136,33.22
2022,11,23,11,18,21,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,11,34,12,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,11,50,2,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,12,5,49,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,12,21,37,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,12,37,22,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,12,53,13,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,13,9,4,-28.456899,-48.972999,20.000000,16,0.00,136,-918.68
2022,11,23,13,24,52,-28.456899,-48.972999,20.000000,16,0.00,136,-1834.98
2022,11,23,13,40,32,-28.456899,-48.972999,20.000000,16,0.00,136,21.07
2022,11,23,13,56,17,-28.456899,-48.972999,20.000000,16,0.00,136,48.83
2022,11,23,14,12,1,-28.456899,-48.972999,20.000000,16,0.00,136,79.10
2022,11,23,14,27,46,-28.456899,-48.972999,20.000000,16,0.00,136,100.72
2022,11,23,14,43,31,-28.456899,-48.972999,20.000000,16,0.00,136,125.70
2022,11,23,14,59,15,-28.456899,-48.972999,20.000000,16,0.00,136,166.01
2022,11,23,15,15,0,-28.456899,-48.972999,20.000000,16,0.00,136,229.07
2022,11,23,15,30,45,-28.456899,-48.972999,20.000000,16,0.00,136,290.17
2022,11,23,15,46,27,-28.456899,-48.972999,20.000000,16,0.00,136,355.46
2022,11,23,16,2,14,-28.456899,-48.972999,20.000000,16,0.00,136,411.27
2022,11,23,16,17,58,-28.456899,-48.972999,20.000000,16,0.00,136,475.44
2022,11,23,16,33,44,-28.456899,-48.972999,20.000000,16,0.00,136,540.59
2022,11,23,16,49,29,-28.456899,-48.972999,20.000000,16,0.00,136,611.18
2022,11,23,17,5,9,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,17,20,53,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,17,36,38,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,17,52,23,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,18,8,1,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,18,23,38,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,18,39,26,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,18,55,11,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,19,10,55,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,19,26,40,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,19,42,24,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,19,58,9,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,20,13,55,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,20,29,38,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,20,45,23,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,21,1,8,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,21,16,52,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,21,32,37,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,21,48,23,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,22,4,8,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,22,19,52,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,22,35,37,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,22,51,22,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,23,7,7,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,23,22,51,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,23,38,35,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,23,23,54,20,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,0,10,5,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,0,25,50,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,0,41,35,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,0,57,20,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,1,13,4,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,1,28,49,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,1,44,33,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,2,0,18,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,2,16,3,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,2,31,47,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,2,47,31,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,3,3,16,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,3,19,2,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,3,34,46,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,3,50,31,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,4,6,16,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,4,22,0,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,4,37,45,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,4,53,30,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,5,9,14,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,5,24,59,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,5,40,43,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,5,56,28,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,6,12,13,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,6,27,58,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,6,43,43,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,6,59,28,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,7,15,12,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,7,30,57,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,7,46,42,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,8,2,26,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,8,18,11,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,8,33,56,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,8,49,38,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,9,5,25,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,9,21,10,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,9,36,55,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,9,52,40,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,10,8,24,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,10,24,9,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,10,39,54,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,10,55,39,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,11,11,24,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,11,27,4,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,11,42,46,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,11,58,33,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,24,12,14,20,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,19,18,30,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,19,34,12,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,19,49,57,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,20,5,42,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,20,21,27,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,20,37,12,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,20,52,57,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,21,8,42,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,21,24,26,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,21,40,11,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,21,55,56,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,22,11,40,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,22,27,26,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,22,43,10,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,22,58,55,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,23,14,40,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,23,30,24,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,25,23,46,9,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,0,1,53,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,0,17,38,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,0,33,23,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,0,49,8,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,1,4,53,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,1,20,38,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,1,36,23,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,1,52,7,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,2,7,52,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,2,23,36,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,2,39,21,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,2,55,6,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,3,10,50,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,3,26,35,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,3,42,20,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,3,58,4,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,4,13,50,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,4,29,34,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,4,45,19,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,5,1,4,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,5,16,49,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,5,32,33,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,5,48,17,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,6,4,2,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,6,19,47,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,6,35,32,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,6,51,17,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,7,7,1,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,7,22,46,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,7,38,31,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,7,54,15,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,8,10,0,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,8,25,42,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,8,41,29,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,8,57,14,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,9,12,59,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,9,28,44,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,9,44,29,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,10,0,14,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,10,15,58,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,10,31,43,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,10,47,28,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,11,3,1,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,11,18,46,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,11,34,30,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,11,50,15,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,12,6,0,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,12,21,45,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,12,37,27,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,12,53,15,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,13,9,1,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,13,24,44,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,13,40,30,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,13,56,15,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,14,11,59,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,14,27,44,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,14,43,29,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,14,59,13,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,15,14,58,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,15,30,42,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,15,46,27,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,16,2,12,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,16,17,57,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,16,33,41,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,16,49,26,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,17,5,11,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,17,20,56,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,17,36,41,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,17,52,25,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,18,8,10,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,18,23,54,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,18,39,39,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,18,55,24,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,19,11,9,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,19,26,54,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,19,42,39,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,19,58,23,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,20,14,8,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,20,29,53,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,20,45,38,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,21,1,23,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
2022,11,26,21,17,7,-28.456899,-48.972999,20.000000,16,0.00,136,-9999.99
